iso3,year,event_date,source,admin1,admin2,location,event_type,sub_event_type,interaction,fatalities,timestamp,latitude,longitude,geo_precision,time_precision
ZWE,2021,2021-06-28,Zimbabwean,Matabeleland North,Hwange Urban,Hwange,Protests,Protest with intervention,16,0,1625510722,-18.3693,26.5019,2,2
ZWE,2021,2021-06-18,Zim Eye,Harare,Harare Urban,Harare,Violence against civilians,Attack,17,0,1625510722,-17.8277,31.0534,1,1
ZWE,2021,2021-06-16,New Zimbabwe,Mashonaland West,Kadoma Urban,Kadoma,Protests,Peaceful protest,60,0,1625510721,-18.35,29.9167,1,1
ZWE,2021,2021-06-09,Chronicle (Zimbabwe); Bulawayo24; New Zimbabwe,Bulawayo,Bulawayo,Bulawayo,Riots,Mob violence,15,0,1624310472,-20.15,28.58,1,1
ZWE,2021,2021-06-07,Bulawayo24; Chronicle (Zimbabwe),Bulawayo,Bulawayo,Bulawayo,Protests,Peaceful protest,60,0,1624310472,-20.15,28.58,1,1
ZWE,2021,2021-06-05,Bulawayo24; Tell Zim,Mashonaland East,Chikomba,Chivhu,Strategic developments,Looting/property destruction,37,0,1635809741,-19.0211,30.8922,2,1
ZWE,2021,2021-06-02,Bulawayo24,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1623100970,-17.8277,31.0534,1,1
ZWE,2021,2021-06-02,Zimbabwean,Harare,Harare Urban,Harare,Protests,Peaceful protest,60,0,1623100970,-17.8277,31.0534,1,1
ZWE,2021,2021-06-01,263chat ZW; Manica Post; Bulawayo24,Manicaland,Mutare Urban,Mutare,Riots,Violent demonstration,15,0,1623100969,-18.9707,32.6709,1,1
ZWE,2021,2021-05-28,Bulawayo24,Midlands,Mberengwa,Mberengwa,Protests,Peaceful protest,60,0,1623100970,-20.4833,29.9167,1,1
ZWE,2021,2021-05-27,Bulawayo24,Midlands,Mberengwa,Mberengwa,Protests,Peaceful protest,60,0,1623100970,-20.4833,29.9167,1,1
ZWE,2021,2021-05-27,New Zimbabwe,Mashonaland West,Karoi Urban,Karoi,Violence against civilians,Sexual violence,17,0,1623100970,-16.8166,29.6833,1,1
